name,details,price,max_num,img,owner_id
قص الشعر,خدمة احترافية,136,7,service1.png,55
تنظيف البشرة,خدمة مميزة,71,3,service2.png,31
طلاء الأظافر,عناية فائقة,78,5,service3.png,64
تصفيف الشعر,أفضل الخدمات,120,1,service4.png,37
ماكياج,أحدث التقنيات,103,10,service5.png,88
عناية بالبشرة,خدمة احترافية,120,8,service6.png,83
مساج,خدمة مميزة,149,8,service7.png,16
تجميل الحواجب,عناية فائقة,82,1,service8.png,9
تلوين الشعر,أفضل الخدمات,71,4,service9.png,58
تسريحة العروس,أحدث التقنيات,117,8,service10.png,66
قص الشعر,خدمة احترافية,181,8,service11.png,73
تنظيف البشرة,خدمة مميزة,194,4,service12.png,2
طلاء الأظافر,عناية فائقة,91,1,service13.png,78
تصفيف الشعر,أفضل الخدمات,85,4,service14.png,23
ماكياج,أحدث التقنيات,118,2,service15.png,12
عناية بالبشرة,خدمة احترافية,194,2,service16.png,80
مساج,خدمة مميزة,179,10,service17.png,58
تجميل الحواجب,عناية فائقة,99,6,service18.png,76
تلوين الشعر,أفضل الخدمات,169,2,service19.png,53
تسريحة العروس,أحدث التقنيات,100,6,service20.png,79
قص الشعر,خدمة احترافية,74,8,service21.png,51
تنظيف البشرة,خدمة مميزة,102,10,service22.png,64
طلاء الأظافر,عناية فائقة,128,3,service23.png,73
تصفيف الشعر,أفضل الخدمات,132,3,service24.png,56
ماكياج,أحدث التقنيات,120,4,service25.png,34
عناية بالبشرة,خدمة احترافية,126,9,service26.png,75
مساج,خدمة مميزة,86,4,service27.png,87
تجميل الحواجب,عناية فائقة,56,6,service28.png,27
تلوين الشعر,أفضل الخدمات,181,1,service29.png,56
تسريحة العروس,أحدث التقنيات,136,2,service30.png,44
قص الشعر,خدمة احترافية,167,2,service31.png,45
تنظيف البشرة,خدمة مميزة,96,4,service32.png,49
طلاء الأظافر,عناية فائقة,134,2,service33.png,57
تصفيف الشعر,أفضل الخدمات,160,5,service34.png,68
ماكياج,أحدث التقنيات,61,4,service35.png,30
عناية بالبشرة,خدمة احترافية,147,2,service36.png,66
مساج,خدمة مميزة,60,5,service37.png,16
تجميل الحواجب,عناية فائقة,61,1,service38.png,22
تلوين الشعر,أفضل الخدمات,134,9,service39.png,68
تسريحة العروس,أحدث التقنيات,108,2,service40.png,86
قص الشعر,خدمة احترافية,85,5,service41.png,19
تنظيف البشرة,خدمة مميزة,138,5,service42.png,11
طلاء الأظافر,عناية فائقة,110,10,service43.png,94
تصفيف الشعر,أفضل الخدمات,73,1,service44.png,62
ماكياج,أحدث التقنيات,142,4,service45.png,68
عناية بالبشرة,خدمة احترافية,178,3,service46.png,62
مساج,خدمة مميزة,106,6,service47.png,99
تجميل الحواجب,عناية فائقة,111,4,service48.png,7
تلوين الشعر,أفضل الخدمات,160,4,service49.png,76
تسريحة العروس,أحدث التقنيات,199,5,service50.png,17
قص الشعر,خدمة احترافية,131,2,service51.png,99
تنظيف البشرة,خدمة مميزة,136,7,service52.png,86
طلاء الأظافر,عناية فائقة,88,4,service53.png,77
تصفيف الشعر,أفضل الخدمات,176,10,service54.png,58
ماكياج,أحدث التقنيات,99,7,service55.png,31
عناية بالبشرة,خدمة احترافية,62,3,service56.png,85
مساج,خدمة مميزة,77,4,service57.png,97
تجميل الحواجب,عناية فائقة,189,2,service58.png,32
تلوين الشعر,أفضل الخدمات,181,4,service59.png,69
تسريحة العروس,أحدث التقنيات,146,3,service60.png,12
قص الشعر,خدمة احترافية,60,1,service61.png,51
تنظيف البشرة,خدمة مميزة,88,8,service62.png,21
طلاء الأظافر,عناية فائقة,71,7,service63.png,29
تصفيف الشعر,أفضل الخدمات,79,4,service64.png,74
ماكياج,أحدث التقنيات,131,7,service65.png,54
عناية بالبشرة,خدمة احترافية,141,10,service66.png,68
مساج,خدمة مميزة,181,4,service67.png,96
تجميل الحواجب,عناية فائقة,194,9,service68.png,60
تلوين الشعر,أفضل الخدمات,70,10,service69.png,96
تسريحة العروس,أحدث التقنيات,125,6,service70.png,1
قص الشعر,خدمة احترافية,61,5,service71.png,21
تنظيف البشرة,خدمة مميزة,125,10,service72.png,21
طلاء الأظافر,عناية فائقة,196,2,service73.png,15
تصفيف الشعر,أفضل الخدمات,186,10,service74.png,91
ماكياج,أحدث التقنيات,79,9,service75.png,26
عناية بالبشرة,خدمة احترافية,186,10,service76.png,86
مساج,خدمة مميزة,109,1,service77.png,29
تجميل الحواجب,عناية فائقة,81,1,service78.png,80
تلوين الشعر,أفضل الخدمات,108,9,service79.png,77
